sample	standard_curve	ngml_av	se_mean	flag
87021.1	MoPrP16	1714.293	11.335	
87021.2	MoPrP16	1927.246	0.708	
87027.2	MoPrP16	1843.563	17.591	
87027.3	MoPrP16	1794.162	15.8	
87028.1	MoPrP16	2000	0	ULQ
87028.2	MoPrP16	2000	0	ULQ
87029.1	MoPrP16	1004.955	6.833	
95043.4	MoPrP16	936.931	0.825	
97823.1	MoPrP16	1406.134	13.785	
97825.4	MoPrP16	656.927	11.354	
97827.2	MoPrP16	1208.957	16.646	
97829.3	MoPrP16	1232.37	11.561	
97829.4	MoPrP16	1536.479	21.097	
97832.3	MoPrP16	2000	0	ULQ
97832.4	MoPrP16	2000	0	ULQ
97836.1	MoPrP16	1872.269	23.371	
97836.2	MoPrP16	1962.627	34.672	
97837.3	MoPrP16	1119.055	28.55	
97838.1	MoPrP16	1273.762	8.376	
97838.3	MoPrP16	911.945	13.459	
MoNeg	MoPrP16	6.608	1.234	
MoNeg-bot	MoPrP16	5.524	3.082	
MoPosHiQC	MoPrP16	337.09	3.316	
MoPosHiQC-bot	MoPrP16	331.022	3.486	
MoPosLoQC	MoPrP16	54.807	1.944	
MoPosLoQC-bot	MoPrP16	53.293	1.741	
MoPosMidQC	MoPrP16	209.164	0.174	
MoPosMidQC-bot	MoPrP16	208.815	3.312	
