sample	standard_curve	ngml_av	se_mean	flag
69823.2	HuPrP5	641.062	8.518	
71636.2	HuPrP5	200.666	1.522	
72829.1	MoPrP16	104.308	0.316	
72829.2	MoPrP16	102.78	3.943	
73523.1	MoPrP16	10.24	0	LLQ
73523.2	HuPrP5	89.977	0.809	
73523.4	HuPrP5	130.829	0.489	
73524.1	HuPrP5	50.921	0.698	
73525.3	HuPrP5	43.302	0.389	
73537.1	HuPrP5	94.825	1.85	
73537.3	HuPrP5	82.844	2.28	
73538.1	HuPrP5	75.739	0.322	
73538.3	HuPrP5	92.048	1.263	
73539.3	HuPrP5	242.768	7.472	
73542.4	MoPrP16	93.251	5.887	
73545.1	MoPrP16	64.529	0.521	
73545.2	MoPrP16	10.24	0	LLQ
73956.1	HuPrP5	603.36	25.404	
74431.2	HuPrP5	368.956	7.922	
74432.1	HuPrP5	372.792	1.537	
75321.1	MoPrP16	61.548	1.579	
75321.2	MoPrP16	65.763	0.973	
75322.1	MoPrP16	10.24	0	LLQ
75322.2	HuPrP5	118.69	1.883	
Mo Neg QC	MoPrP16	9.195	0.417	
Mo Pos Hi QC	MoPrP16	114.664	0.892	
Mo Pos Lo QC	MoPrP16	23.105	0.549	
Mo Pos Mid QC	MoPrP16	52.061	0.564	
