plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
138	A	1	1.871	standard	5	1	MoPrP16	TRUE	5	5.1	5	ULQ
138	A	2	1.839	standard	5	1	MoPrP16	TRUE	5	4.899	4.899	
138	A	3	0.738	sample	111031.3	400	MoPrP16	TRUE	NA	520.585	520.585	
138	A	4	0.768	sample	111031.3	400	MoPrP16	TRUE	NA	543.993	543.993	
138	A	5	0.489	sample	107271.3	400	MoPrP16	TRUE	NA	338.123	338.123	
138	A	6	0.486	sample	107271.3	400	MoPrP16	TRUE	NA	336.019	336.019	
138	A	7	1.487	sample	107267.3	400	MoPrP16	TRUE	NA	1298.453	1298.453	
138	A	8	1.498	sample	107267.3	400	MoPrP16	TRUE	NA	1314.645	1314.645	
138	A	9	0.44	sample	MoPosHiQC	200	MoPrP16	TRUE	NA	151.968	151.968	
138	A	10	0.419	sample	MoPosHiQC	200	MoPrP16	TRUE	NA	144.687	144.687	
138	B	1	1.07	standard	2	1	MoPrP16	TRUE	2	2.015	2.015	
138	B	2	1.06	standard	2	1	MoPrP16	TRUE	2	1.991	1.991	
138	B	3	0.32	sample	111031.4	400	MoPrP16	TRUE	NA	220.957	220.957	
138	B	4	0.329	sample	111031.4	400	MoPrP16	TRUE	NA	227.187	227.187	
138	B	5	0.566	sample	107273.2	400	MoPrP16	TRUE	NA	392.708	392.708	
138	B	6	0.543	sample	107273.2	400	MoPrP16	TRUE	NA	376.27	376.27	
138	B	7	1.565	sample	107270.4	400	MoPrP16	TRUE	NA	1418.19	1418.19	
138	B	8	1.605	sample	107270.4	400	MoPrP16	TRUE	NA	1484.416	1484.416	
138	B	9	0.263	sample	MoPosMidQC	200	MoPrP16	TRUE	NA	90.617	90.617	
138	B	10	0.251	sample	MoPosMidQC	200	MoPrP16	TRUE	NA	86.389	86.389	
138	C	1	0.454	standard	0.8	1	MoPrP16	TRUE	0.8	0.784	0.784	
138	C	2	0.466	standard	0.8	1	MoPrP16	TRUE	0.8	0.805	0.805	
138	C	3	0.363	sample	111031.5	400	MoPrP16	TRUE	NA	250.677	250.677	
138	C	4	0.368	sample	111031.5	400	MoPrP16	TRUE	NA	254.129	254.129	
138	C	5	1.511	sample	107273.3	400	MoPrP16	TRUE	NA	1334.063	1334.063	
138	C	6	1.489	sample	107273.3	400	MoPrP16	TRUE	NA	1301.381	1301.381	
138	C	7	1.629	sample	107271.1	400	MoPrP16	TRUE	NA	1525.901	1525.901	
138	C	8	1.607	sample	107271.1	400	MoPrP16	TRUE	NA	1487.821	1487.821	
138	C	9	0.077	sample	MoPosLoQC	200	MoPrP16	TRUE	NA	18.221	18.221	
138	C	10	0.08	sample	MoPosLoQC	200	MoPrP16	TRUE	NA	19.697	19.697	
138	D	1	0.19	standard	0.32	1	MoPrP16	TRUE	0.32	0.322	0.322	
138	D	2	0.191	standard	0.32	1	MoPrP16	TRUE	0.32	0.324	0.324	
138	D	3	1.038	sample	111032.1	400	MoPrP16	TRUE	NA	775.561	775.561	
138	D	4	1.06	sample	111032.1	400	MoPrP16	TRUE	NA	796.465	796.465	
138	D	5	0.467	sample	111031.1	400	MoPrP16	TRUE	NA	322.732	322.732	
138	D	6	0.49	sample	111031.1	400	MoPrP16	TRUE	NA	338.824	338.824	
138	D	7	1.615	sample	107271.2	400	MoPrP16	TRUE	NA	1501.535	1501.535	
138	D	8	1.592	sample	107271.2	400	MoPrP16	TRUE	NA	1462.504	1462.504	
138	D	9	0.032	sample	MoNeg	200	MoPrP16	TRUE	NA	NA	10.24	LLQ
138	D	10	0.033	sample	MoNeg	200	MoPrP16	TRUE	NA	NA	10.24	LLQ
138	E	1	0.103	standard	0.128	1	MoPrP16	TRUE	0.128	0.151	0.151	
138	E	2	0.094	standard	0.128	1	MoPrP16	TRUE	0.128	0.131	0.131	
138	E	3	1.117	sample	111032.2	400	MoPrP16	TRUE	NA	852.383	852.383	
138	E	4	1.122	sample	111032.2	400	MoPrP16	TRUE	NA	857.415	857.415	
138	E	5	0.35	sample	111031.2	400	MoPrP16	TRUE	NA	241.701	241.701	
138	E	6	0.353	sample	111031.2	400	MoPrP16	TRUE	NA	243.773	243.773	
138	E	7	1.532	sample	107272.2	400	MoPrP16	TRUE	NA	1366.097	1366.097	
138	E	8	1.515	sample	107272.2	400	MoPrP16	TRUE	NA	1340.1	1340.1	
138	F	1	0.055	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.029	0.029	
138	F	2	0.058	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.039	0.039	
138	F	3	1.028	sample	111032.3	400	MoPrP16	TRUE	NA	766.177	766.177	
138	F	4	1.01	sample	111032.3	400	MoPrP16	TRUE	NA	749.468	749.468	
138	F	5	1.631	sample	111032.4	400	MoPrP16	TRUE	NA	1529.42	1529.42	
138	F	6	1.664	sample	111032.4	400	MoPrP16	TRUE	NA	1588.945	1588.945	
138	F	7	1.546	sample	107272.3	400	MoPrP16	TRUE	NA	1387.929	1387.929	
138	F	8	1.504	sample	107272.3	400	MoPrP16	TRUE	NA	1323.568	1323.568	
138	G	1	0.044	standard	0.02048	1	MoPrP16	TRUE	0.02048	NA	0.051	LLQ
138	G	2	0.044	standard	0.02048	1	MoPrP16	TRUE	0.02048	NA	0.051	LLQ
138	H	1	0.024	standard	0	1	MoPrP16	TRUE	0	NA	0.051	LLQ
138	H	2	0.023	standard	0	1	MoPrP16	FALSE	0	NA	0.051	LLQ
