sample	standard_curve	ngml_av	se_mean	flag
89313.2	MoPrP16	85.369	0.566	
89313.3	MoPrP16	105.819	0	
89313.4	MoPrP16	97.75	0.046	
89313.5	MoPrP16	169.958	4.758	
89314.1	MoPrP16	302.75	18.884	
89314.2	MoPrP16	260.071	8.626	
89314.3	MoPrP16	244.54	7.816	
89314.4	MoPrP16	251.574	6.361	
89315.1	MoPrP16	124.828	1.049	
89315.2	MoPrP16	140.922	14.221	
89318.1	MoPrP16	286.196	9.911	
89318.2	MoPrP16	228.826	1.697	
89318.3	MoPrP16	320.99	3.868	
89318.4	MoPrP16	102.016	0.236	
89319.1	MoPrP16	130.554	5.265	
89319.2	MoPrP16	96.966	2.571	
89324.1	MoPrP16	353.719	21.272	
89324.2	MoPrP16	223.86	3.786	
89324.3	MoPrP16	244.961	3.485	
89324.4	MoPrP16	201.736	5.184	
89324.5	MoPrP16	203.207	13.945	
89324.6	MoPrP16	297.24	6.979	
89325.1	MoPrP16	129.751	5.045	
89325.2	MoPrP16	82.69	2.758	
89325.3	MoPrP16	323.24	20.673	
89325.4	MoPrP16	257.568	5.821	
89344.1	MoPrP16	367.844	41.586	
89344.2	MoPrP16	199.892	10.434	
89344.3	MoPrP16	79.231	2.325	
89344.4	MoPrP16	84.243	0.64	
89344.5	MoPrP16	75.418	4.667	
89346.1	MoPrP16	51.868	2.98	
89346.2	MoPrP16	99.908	0.371	
89346.3	MoPrP16	72.453	2.751	
89346.4	MoPrP16	98.04	1.868	
MoNeg 	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	29.462	0.284	
MoPosLoQC	MoPrP16	10.24	0	LLQ
MoPosMidQC	MoPrP16	17.964	0.233	
