sample	standard_curve	ngml_av	se_mean	flag
87019.4	MoPrP16	1365.437	81.206	
87019.5	MoPrP16	1288.383	59.068	
87020.3	MoPrP16	842.958	3.043	
87022.2	MoPrP16	1758.221	22.844	
87022.3	MoPrP16	2000	0	ULQ
87023.1	MoPrP16	1467.713	23.717	
87026.3	MoPrP16	1255.432	16.667	
87026.4	MoPrP16	1134.374	31.446	
87027.1	MoPrP16	1106.313	52.724	
95041.1	MoPrP16	733.788	27.366	
95042.1	MoPrP16	1720.423	85.24	
95042.2	MoPrP16	1621.362	85.828	
95043.3	MoPrP16	654.916	11.391	
96725.1	MoPrP16	1637.678	57.427	
97824.1	MoPrP16	651.078	28.233	
97824.2	MoPrP16	530.741	6.978	
97826.4	MoPrP16	1146.166	10.942	
97826.5	MoPrP16	1060.476	47.906	
97827.1	MoPrP16	1230.844	67.937	
97829.2	MoPrP16	921.387	9.963	
97830.4	MoPrP16	1755.747	53.754	
97830.5	MoPrP16	1729.4	141.489	
97831.1	MoPrP16	1482.549	14.458	
97831.3	MoPrP16	2000	0	ULQ
97832.1	MoPrP16	1981.253	18.747	
97832.2	MoPrP16	1707.19	0	
97837.1	MoPrP16	863.432	23.518	
97837.2	MoPrP16	841.344	12.151	
97838.2	MoPrP16	771.381	22.527	
97839.2	MoPrP16	667.791	12.659	
MoNeg	MoPrP16	13.236	2.996	
MoPosHiQC	MoPrP16	239.293	12.256	
MoPosHiQC-bot	MoPrP16	246.802	0.364	
MoPosLoQC	MoPrP16	47.235	2.45	
MoPosLoQC-bot	MoPrP16	60.665	0.585	
MoPosMidQC	MoPrP16	147.322	6.415	
MoPosMidQC-bot	MoPrP16	172.211	3.65	
