sample	standard_curve	ngml_av	se_mean	flag
84065.1	MoPrP16	82.878	0.511	
88067.1	MoPrP16	91.236	0.647	
88067.2	MoPrP16	85.953	1.283	
88067.3	MoPrP16	91.495	0.388	
88068.1	MoPrP16	81.602	0.255	
88068.2	MoPrP16	79.308	1.017	
88068.3	MoPrP16	79.69	0.891	
88069.1	MoPrP16	69.82	0.377	
88069.2	MoPrP16	89.043	2.063	
88069.3	MoPrP16	77.022	0.761	
88070.1	MoPrP16	82.75	0.127	
88070.2	MoPrP16	65.301	1.128	
88070.3	MoPrP16	72.226	4.542	
88074.3	MoPrP16	89.944	0.13	
88075.2	MoPrP16	81.984	0.383	
88075.3	MoPrP16	89.298	0.516	
88076.1	MoPrP16	73.225	0.506	
88076.2	MoPrP16	76.894	0.381	
88076.3	MoPrP16	84.03	0.64	
88077.2	MoPrP16	85.696	0.513	
88077.3	MoPrP16	67.559	0.628	
88078.1	MoPrP16	87.114	2.7	
88079.1	MoPrP16	78.799	0.509	
88079.2	MoPrP16	79.182	1.654	
88079.3	MoPrP16	84.158	1.28	
88080.1	MoPrP16	84.414	0.512	
88080.2	MoPrP16	83.008	1.662	
88080.3	MoPrP16	75.759	3.04	
88081.1	MoPrP16	77.91	0.381	
88081.2	MoPrP16	76.649	3.677	
88085.3	MoPrP16	87.882	1.416	
88086.2	MoPrP16	88.654	0.128	
88086.3	MoPrP16	66.304	0.627	
Mo Neg QC	MoPrP16	10.24	0	LLQ
Mo Pos Hi QC	MoPrP16	81.986	1.66	
Mo Pos Lo QC	MoPrP16	13.968	0.538	
Mo Pos Mid QC	MoPrP16	42.01	1.991	
