sample	standard_curve	ngml_av	se_mean	flag
100413.1	MoPrP16	1172.822	66.699	
100413.2	MoPrP16	1049.482	50.679	
105259.1	MoPrP16	795.652	20.368	
105259.3	MoPrP16	894.09	53.637	
105260.2	MoPrP16	967.332	6.882	
105260.3	MoPrP16	769.064	9.722	
105261.1	MoPrP16	791.545	8.538	
105261.2	MoPrP16	882.445	17.665	
105261.3	MoPrP16	870.582	3.488	
105261.5	MoPrP16	1154.738	11.009	
105262.1	MoPrP16	1262.68	34.529	
105262.2	MoPrP16	1123.147	28.91	
105262.3	MoPrP16	1252.77	4.057	
108050.4	MoPrP16	967.374	11.184	
1A.1	MoPrP16	1250.368	66.425	
2A.1	MoPrP16	615.359	2.064	
2A.2	MoPrP16	776.389	10.15	
2A.3	MoPrP16	894.499	46.512	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	193.144	1.074	
MoPosLoQC	MoPrP16	33.772	1.348	
MoPosMidQC	MoPrP16	102.19	3.998	
