sample	standard_curve	ngml_av	se_mean	flag
89313.2	MoPrP16	581.64	2.861	
89313.3	MoPrP16	650.941	13.333	
89313.4	MoPrP16	566.811	2.505	
89313.5	MoPrP16	1085.402	20.957	
89314.1	MoPrP16	1504.103	47.097	
89314.2	MoPrP16	1175.282	41.104	
89314.3	MoPrP16	1215.514	44.574	
89314.4	MoPrP16	1285.299	9.796	
89315.1	MoPrP16	736.672	2.62	
89315.2	MoPrP16	826.645	50.611	
89318.1	MoPrP16	1441.052	3.773	
89318.2	MoPrP16	1168.61	3.502	
89318.3	MoPrP16	1577.569	24.703	
89318.4	MoPrP16	591.313	13.167	
89319.1	MoPrP16	802.176	7.221	
89319.2	MoPrP16	628.35	16.024	
89324.1	MoPrP16	1733.868	6.812	
89324.2	MoPrP16	1084.728	12.889	
89324.3	MoPrP16	985.472	40.78	
89324.4	MoPrP16	1029.347	10.157	
89324.5	MoPrP16	1082.022	80.763	
89324.6	MoPrP16	1552.897	8.337	
89325.1	MoPrP16	807.997	20.182	
89325.2	MoPrP16	518.725	18.481	
89325.3	MoPrP16	1350.185	60.35	
89325.4	MoPrP16	1181.916	28.374	
89344.1	MoPrP16	1671.757	57.236	
89344.2	MoPrP16	1104.215	9.856	
89344.3	MoPrP16	471.07	22.176	
89344.4	MoPrP16	493.019	11.33	
89344.5	MoPrP16	423.408	27.715	
89346.1	MoPrP16	321.562	13.214	
89346.2	MoPrP16	591.898	8.034	
89346.3	MoPrP16	446.488	14.161	
89346.4	MoPrP16	595.084	0.968	
MoNeg 	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	164.88	2.508	
MoPosLoQC	MoPrP16	24.285	1.928	
MoPosMidQC	MoPrP16	84.53	0.584	
