sample	standard_curve	ngml_av	se_mean	flag
87011.2	MoPrP16	657.606	7.914	
87011.3	MoPrP16	1089.784	4.957	
87011.4	MoPrP16	1092.16	39.769	
87011.5	MoPrP16	995.216	47.793	
93816.1	MoPrP16	1176.355	52.011	
93816.2	MoPrP16	1285.899	16.361	
93816.3	MoPrP16	1054.575	26.677	
93817.1	MoPrP16	743.29	9.761	
93817.2	MoPrP16	1070.704	10.548	
93817.3	MoPrP16	1013.652	15.913	
93818.1	MoPrP16	342.886	4.148	
93818.2	MoPrP16	563.812	6.9	
93818.3	MoPrP16	563.288	1.278	
93819.1	MoPrP16	547.264	5.068	
93819.2	MoPrP16	619.158	2.647	
93819.3	MoPrP16	507.806	8.238	
93819.4	MoPrP16	557.701	9.936	
93819.5	MoPrP16	419.966	2.733	
93820.1	MoPrP16	526.654	20.605	
93820.2	MoPrP16	529.843	4.276	
93820.3	MoPrP16	521.612	18.057	
93820.4	MoPrP16	616.551	10.571	
93821.1	MoPrP16	284.236	2.51	
93821.2	MoPrP16	325.644	0.528	
93821.3	MoPrP16	272.914	8.813	
93822.1	MoPrP16	990.71	38.02	
93822.2	MoPrP16	1111.264	4.636	
93822.3	MoPrP16	1255.603	18.524	
93822.4	MoPrP16	324.325	0.792	
93822.5	MoPrP16	347.548	2.065	
MoNeg	MoPrP16	NA	NA	
MoPosHiQC	MoPrP16	199.132	4.254	
MoPosLoQC	MoPrP16	36.388	0	
MoPosMidQC	MoPrP16	151.868	1.625	
