chrom	pos	depth
20	4572504	2
20	4572505	2
20	4572506	2
20	4572507	2
20	4572508	2
20	4572509	2
20	4572510	2
20	4572511	2
20	4572512	2
20	4572513	2
20	4572514	2
20	4572515	2
20	4572516	2
20	4572517	2
20	4572518	2
20	4572519	2
20	4572520	2
20	4572521	2
20	4572522	2
20	4572523	2
20	4572524	2
20	4572525	2
20	4572526	2
20	4572527	2
20	4572528	2
20	4572529	2
20	4572530	2
20	4572531	2
20	4572532	2
20	4572533	2
20	4572534	2
20	4572535	2
20	4572536	2
20	4572537	2
20	4572538	2
20	4572539	2
20	4572540	2
20	4572541	2
20	4572542	2
20	4572543	2
20	4572544	2
20	4572545	2
20	4572546	2
20	4572547	2
20	4572548	2
20	4572549	2
20	4572550	2
20	4572551	2
20	4572552	2
20	4572553	2
20	4572554	2
20	4572555	2
20	4572556	2
20	4572557	2
20	4572558	2
20	4572559	2
20	4572560	2
20	4572561	2
20	4572562	2
20	4572563	2
20	4572564	2
20	4572565	2
20	4572566	2
20	4572567	2
20	4572568	2
20	4572569	2
20	4572570	2
20	4572571	2
20	4572572	2
20	4572573	2
20	4572574	2
20	4572575	2
20	4572576	2
20	4572577	2
20	4572578	2
20	4572579	2
20	4572580	2
20	4572581	2
20	4572582	2
20	4572583	2
20	4572584	2
20	4572585	2
20	4572586	2
20	4572587	2
20	4572588	2
20	4572589	2
20	4572590	2
20	4572591	2
20	4572592	2
20	4572593	2
20	4572594	2
20	4572595	2
20	4572596	2
20	4572597	2
20	4572598	2
20	4572599	2
20	4572600	2
20	4572601	2
20	4572602	2
20	4572603	2
20	4572604	2
20	4572605	2
20	4572606	2
20	4572607	2
20	4572608	2
20	4572609	2
20	4572610	2
20	4572611	2
20	4572612	2
20	4572613	2
20	4572614	2
20	4572615	2
20	4572616	2
20	4572617	2
20	4572618	2
20	4572619	2
20	4572620	2
20	4572621	2
20	4572622	2
20	4572623	2
20	4572624	2
20	4572625	2
20	4572626	2
20	4572627	2
20	4572628	2
20	4572629	2
20	4572630	2
20	4572631	2
20	4572632	2
20	4572633	2
20	4572634	2
20	4572635	2
20	4572636	2
20	4572637	2
20	4572638	2
20	4572639	2
20	4572640	2
20	4572641	2
20	4572642	2
20	4572643	2
20	4572644	2
20	4573594	1
20	4573595	1
20	4573596	1
20	4573597	1
20	4573598	1
20	4573599	1
20	4573600	1
20	4573601	1
20	4573602	1
20	4573603	1
20	4573604	1
20	4573605	1
20	4573606	1
20	4573607	1
20	4573608	1
20	4573609	1
20	4573610	1
20	4573611	1
20	4573612	1
20	4573613	1
20	4573614	1
20	4573615	1
20	4573616	1
20	4573617	1
20	4573618	1
20	4573619	1
20	4573620	1
20	4573621	1
20	4573622	1
20	4573623	1
20	4573624	1
20	4573625	1
20	4573626	1
20	4573627	1
20	4573628	1
20	4573629	1
20	4573630	1
20	4573631	1
20	4573632	1
20	4573633	1
20	4573634	1
20	4573635	1
20	4573636	1
20	4573637	1
20	4573638	1
20	4573639	1
20	4573640	1
20	4573641	1
20	4573642	1
20	4573643	1
20	4573644	1
20	4573645	1
20	4573646	1
20	4573647	1
20	4573648	1
20	4573649	1
20	4573650	1
20	4573651	1
20	4573652	1
20	4573653	1
20	4573654	1
20	4573655	1
20	4573656	1
20	4573657	1
