animal_id	dose_mg	nominal_timepoint	matrix	meta_tissue	mass_grams	concentration_ug_g	proportion_dose_retained
201	20	1	Liver	Liver	231.17	52.9766	0.6123300311
202	20	1	Liver	Liver	249.81	44.9696	0.5616927888000001
203	20	1	Liver	Liver	223.17	50.0042	0.5579718656999999
204	20	1	Liver	Liver	282.38	32.1087	0.4533427353
205	20	28	Liver	Liver	206.71	24.868599999999997	0.2570294153
206	20	28	Liver	Liver	252.21	3.2556	0.0410547438
251	20	1	Liver	Liver	248.59	52.0979	0.6475508480500001
252	20	1	Liver	Liver	180.39	67.2313	0.60639271035
253	20	1	Liver	Liver	190.75	58.7771	0.56058659125
254	20	1	Liver	Liver	178.93	63.214800000000004	0.5655512082
255	20	28	Liver	Liver	184.9	33.0937	0.3059512565
256	20	28	Liver	Liver	241.81	9.828100000000001	0.11882664305000001
301	60	1	Liver	Liver	244.49	97.2147	0.39613370005
302	60	1	Liver	Liver	215.39	132.6248	0.4761009278666666
303	60	1	Liver	Liver	220.37	114.4052	0.4201912320666666
304	60	1	Liver	Liver	269.33	98.24810000000001	0.44101934621666666
305	60	28	Liver	Liver	223.61	30.3154	0.11298044323333332
306	60	28	Liver	Liver	247.05	34.3369	0.14138218575
351	60	1	Liver	Liver	211.56	110.6717	0.3902284142
352	60	1	Liver	Liver	203.69	158.5434	0.5382284190999999
353	60	1	Liver	Liver	151.63	149.3865	0.37752458325
354	60	1	Liver	Liver	179.68	112.6905	0.337470484
355	60	28	Liver	Liver	197.46	40.6798	0.13387722180000003
356	60	28	Liver	Liver	231.86	58.968599999999995	0.22787432659999998
405	200	28	Liver	Liver	223.49	90.8703	0.101543016735
406	200	28	Liver	Liver	269.79	77.4777	0.10451354341500001
455	200	28	Liver	Liver	215.06	127.0558	0.13662310174
456	200	28	Liver	Liver	227.08	54.4387	0.061809699979999994
401	200	1	Liver	Liver	284.48	252.7459	0.35950576816
402	200	1	Liver	Liver	246.4	182.54170000000002	0.22489137440000004
403	200	1	Liver	Liver	234.83	211.4325	0.24825346987500002
404	200	1	Liver	Liver	223.98	233.7019	0.26172275781
451	200	1	Liver	Liver	203.92	227.5731	0.23203353275999997
452	200	1	Liver	Liver	213.5	191.4477	0.20437041975
453	200	1	Liver	Liver	225.25	258.0341	0.29061090512500004
454	200	1	Liver	Liver	200.35	310.29740000000004	0.31084042045
201	20	1	Kidney	Kidney	42.48	4.2456000000000005	0.009017654400000002
202	20	1	Kidney	Kidney	39.97	3.0801	0.00615557985
203	20	1	Kidney	Kidney	43.92	3.372	0.007404912
204	20	1	Kidney	Kidney	41.31	2.3828	0.004921673400000001
205	20	28	Kidney	Kidney	45.02	1.0687	0.0024056437000000005
206	20	28	Kidney	Kidney	40.58	0.6577000000000001	0.0013344733000000002
251	20	1	Kidney	Kidney	36.14	2.5852	0.0046714564
252	20	1	Kidney	Kidney	35.56	3.7681	0.0066996818
253	20	1	Kidney	Kidney	31.11	3.9354	0.0061215147000000004
254	20	1	Kidney	Kidney	28.73	3.7946	0.0054509429
255	20	28	Kidney	Kidney	28.09	2.0292	0.0028500114
256	20	28	Kidney	Kidney	35.91	0.6794	0.0012198626999999997
301	60	1	Kidney	Kidney	42.04	9.5033	0.006658645533333332
302	60	1	Kidney	Kidney	42.06	8.788	0.006160388
303	60	1	Kidney	Kidney	33.68	29.6006	0.01661580346666667
304	60	1	Kidney	Kidney	43.3	6.7692	0.004885105999999999
305	60	28	Kidney	Kidney	54.24	4.6358999999999995	0.0041908536
306	60	28	Kidney	Kidney	43.5	4.5404	0.00329179
351	60	1	Kidney	Kidney	32.21	11.6061	0.0062305413499999995
352	60	1	Kidney	Kidney	32.03	8.4314	0.004500962366666667
353	60	1	Kidney	Kidney	25.64	27.4712	0.011739359466666667
354	60	1	Kidney	Kidney	27.32	15.550600000000001	0.007080706533333333
355	60	28	Kidney	Kidney	31.08	1.3155	6.814289999999998e-4
356	60	28	Kidney	Kidney	36.03	3.7651999999999997	0.0022610026
405	200	28	Kidney	Kidney	36.82	9.844299999999999	0.0018123356299999999
406	200	28	Kidney	Kidney	39.44	15.873	0.0031301555999999997
455	200	28	Kidney	Kidney	30.01	25.477	0.0038228238500000004
456	200	28	Kidney	Kidney	33.12	23.140900000000002	0.0038321330399999996
401	200	1	Kidney	Kidney	46.63	35.0305	0.008167361075
402	200	1	Kidney	Kidney	37.12	68.51910000000001	0.01271714496
403	200	1	Kidney	Kidney	39.27	64.9639	0.012755661764999999
404	200	1	Kidney	Kidney	40.57	63.5553	0.012892192604999998
451	200	1	Kidney	Kidney	33.61	83.2073	0.013982986765
452	200	1	Kidney	Kidney	31.31	59.316	0.0092859198
453	200	1	Kidney	Kidney	35.14	66.147	0.0116220279
454	200	1	Kidney	Kidney	40.85	46.5547	0.009508797475
201	20	1	Spinal Cord, cervical	Brain	78.03	0.047700000000000006	1.8610155000000004e-4
202	20	1	Spinal Cord, cervical	Brain	72.12	2.15	0.0077529
203	20	1	Spinal Cord, cervical	Brain	73.91	0.0945	3.4922475e-4
204	20	1	Spinal Cord, cervical	Brain	76.21	7.7946	0.029701323299999992
205	20	28	Spinal Cord, cervical	Brain	77.29	3.9997	0.015456840650000001
206	20	28	Spinal Cord, cervical	Brain	73.79	2.0199000000000003	0.0074524210500000005
251	20	1	Spinal Cord, cervical	Brain	72.26	2.6887	0.0097142731
252	20	1	Spinal Cord, cervical	Brain	73.27	10.2026	0.0373772251
253	20	1	Spinal Cord, cervical	Brain	73.26	0.9916	0.0036322308000000005
254	20	1	Spinal Cord, cervical	Brain	67.12	6.083699999999999	0.0204168972
255	20	28	Spinal Cord, cervical	Brain	64.77	3.771	0.012212383499999998
256	20	28	Spinal Cord, cervical	Brain	77.68	0.1176	4.5675840000000006e-4
301	60	1	Spinal Cord, cervical	Brain	74.21	4.6453999999999995	0.005745585566666666
303	60	1	Spinal Cord, cervical	Brain	76.63	2.426	0.0030984063333333333
304	60	1	Spinal Cord, cervical	Brain	76.15	10.9662	0.013917935500000003
351	60	1	Spinal Cord, cervical	Brain	69.01	0.4016	4.6190693333333335e-4
353	60	1	Spinal Cord, cervical	Brain	70.36	3.1483000000000003	0.003691906466666667
354	60	1	Spinal Cord, cervical	Brain	68.2	0.2792	3.173573333333333e-4
302	60	1	Spinal Cord, cervical	Brain	70.47	23.1212	0.0271558494
305	60	28	Spinal Cord, cervical	Brain	79.39	4.587	0.006069365499999999
306	60	28	Spinal Cord, cervical	Brain	76.64	4.5588999999999995	0.005823234933333333
352	60	1	Spinal Cord, cervical	Brain	69.39	22.970299999999998	0.026565151949999997
355	60	28	Spinal Cord, cervical	Brain	71.3	11.203	0.013312898333333332
356	60	28	Spinal Cord, cervical	Brain	78.27	9.8753	0.012882328849999998
