study_id	display_tx	target	n	mean	l95	u95
CMR-1313	2440-s4	GFAP	7	0.9264827717014495	0.809530925885371	1.0434346175175282
CMR-1313	2440-s1	GFAP	7	1.0169972311377615	0.7128487985651403	1.3211456637103827
CMR-1313	NTC-s1	GFAP	6	0.9941061604809551	0.8229779703239485	1.1652343506379617
CMR-1313	PBS	GFAP	6	0.9999999999999999	0.9079023996001078	1.0920976003998921
CMR-1418	2440-s4	GFAP	7	0.9130048181726915	0.8264116887104626	0.9995979476349205
CMR-1418	2440-s1	GFAP	5	1.1832582716086006	0.4568293951162936	1.9096871481009077
CMR-1418	NTC-s1	GFAP	5	3.7455852650444887	-1.492436067278451	8.983606597367428
CMR-1418	PBS	GFAP	5	1	0.8796193406009185	1.1203806593990815
CMR-1465	2439-s2	GFAP	6	0.8457305707307519	0.7855307129004321	0.9059304285610716
CMR-1465	2520-s2	GFAP	6	0.9092899488165287	0.7432110081155487	1.0753688895175086
CMR-1465	2710-s2	GFAP	6	0.96727984616745	0.7365859297200006	1.1979737626148994
CMR-1465	2768-s2	GFAP	5	0.8517151041213604	0.6881480509688845	1.0152821572738362
CMR-1465	NTC-s2	GFAP	6	0.9162700204319897	0.7955689921861855	1.0369710486777939
CMR-1465	PBS	GFAP	6	1	0.8101022529906777	1.1898977470093222
CMR-1697	2439-s4	GFAP	6	0.7832063446632052	0.5093348192715296	1.0570778700548806
CMR-1697	2520-s4	GFAP	6	0.6011443438959423	0.5064697613494921	0.6958189264423925
CMR-1697	2768-s4	GFAP	6	0.86990322472963455	0.7595680121005646	0.9802384373587045
CMR-1697	NTC-s4	GFAP	6	0.9920335225432483	0.7613083582729068	1.2227586868135898
CMR-1697	PBS	GFAP	6	0.9999999999999999	0.8712938128700471	1.1287061871299526
CMR-1313	2440-s4	IBA1	7	1.0325260804294272	0.922380493421918	1.1426716674369364
CMR-1313	2440-s1	IBA1	7	1.0934694509996368	0.8504572297481863	1.3364816722510873
CMR-1313	NTC-s1	IBA1	6	1.014165240615379	0.9466054570439285	1.0817250241868293
CMR-1313	PBS	IBA1	6	1	0.8961900064025394	1.1038099935974606
CMR-1418	2440-s4	IBA1	7	0.6309712780068796	0.5959572117221215	0.6659853442916377
CMR-1418	2440-s1	IBA1	5	1.137180870196312	0.6354590515855658	1.6389026888070581
CMR-1418	NTC-s1	IBA1	5	1.0893552480036621	0.41527381245011663	1.7634366835572077
CMR-1418	PBS	IBA1	5	1	0.9478452006345254	1.0521547993654747
CMR-1465	2439-s2	IBA1	6	0.8871791055264535	0.8341128291364013	0.9402453819165058
CMR-1465	2520-s2	IBA1	6	0.8962648838394215	0.8418649322727928	0.9506648354060502
CMR-1465	2710-s2	IBA1	6	0.8297122850883415	0.5483866886893825	1.1110378814873005
CMR-1465	2768-s2	IBA1	5	0.9280095584424328	0.8514585544358373	1.0045605624490284
CMR-1465	NTC-s2	IBA1	6	0.9828670299352382	0.8785930709778054	1.087140988892671
CMR-1465	PBS	IBA1	6	1	0.9191206091308618	1.0808793908691383
CMR-1697	2439-s4	IBA1	6	0.6131910310077848	0.33755685084008163	0.888825211175488
CMR-1697	2520-s4	IBA1	6	0.5714841162498088	0.48533876077895965	0.6576294717206579
CMR-1697	2768-s4	IBA1	5	0.9790966876586852	0.6388419564535857	1.3193514188637847
CMR-1697	NTC-s4	IBA1	6	1.1482779975507977	0.6776442996798809	1.6189116954217146
CMR-1697	PBS	IBA1	6	0.9999999999999999	0.6322060505604737	1.367793949439526
