study_id	plate	animal	genotype	sex	tx	dose_dio	dosing_regimen	days_harvest	ngml_av	saline_mean	n_saline	rel	n_animals	color	is_reference	is_ntc	sequence_number	display_tx	x
CMR-1403	49	88076.1	C57BL/6N	F	saline	0	0	20	130.712	127.23566666666666	6	1.027322003526265	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1403	49	88076.2	C57BL/6N	F	saline	0	0	20	121.713	127.23566666666666	6	0.9565949799191527	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1403	49	88076.3	C57BL/6N	F	saline	0	0	20	135.898	127.23566666666666	6	1.0680810150193736	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1403	49	84065.1	C57BL/6N	M	saline	0	0	22	127.561	127.23566666666666	6	1.00255693503132	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1403	49	88086.2	C57BL/6N	M	saline	0	0	22	141.543	127.23566666666666	6	1.1124475055474488	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1403	49	88086.3	C57BL/6N	M	saline	0	0	22	105.987	127.23566666666666	6	0.8329975609564404	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1656	64	92821.3	C57BL/6N	M	saline	0	0	30	104.678	99.0924	5	1.0563675922674192	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1656	64	92822.1	C57BL/6N	M	saline	0	0	30	96.552	99.0924	5	0.9743633215059885	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1656	64	92825.1	C57BL/6N	F	saline	0	0	30	108.757	99.0924	5	1.0975311931086542	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1656	64	92825.2	C57BL/6N	F	saline	0	0	30	96.06	99.0924	5	0.9693982585950084	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1656	64	92825.3	C57BL/6N	F	saline	0	0	30	89.415	99.0924	5	0.9023396345229302	45	#A9A9A9	TRUE	FALSE		saline	1
CMR-1403	49	88074.1	C57BL/6N	F	1035-exNA	10	0	20	106.212	127.23566666666666	6	0.8347659330324045	15	#63C389	FALSE	FALSE	1035	1035-s4	5
CMR-1403	49	88074.2	C57BL/6N	F	1035-exNA	10	0	20	72.992	127.23566666666666	6	0.5736756203056271	15	#63C389	FALSE	FALSE	1035	1035-s4	5
CMR-1403	49	88084.3	C57BL/6N	M	1035-exNA	10	0	22	75.721	127.23566666666666	6	0.5951240087292086	15	#63C389	FALSE	FALSE	1035	1035-s4	5
CMR-1403	49	88085.1	C57BL/6N	M	1035-exNA	10	0	22	78.46	127.23566666666666	6	0.6166509914672772	15	#63C389	FALSE	FALSE	1035	1035-s4	5
CMR-1403	49	88085.2	C57BL/6N	M	1035-exNA	10	0	22	74.364	127.23566666666666	6	0.5844587602532834	15	#63C389	FALSE	FALSE	1035	1035-s4	5
CMR-1403	49	88072.1	C57BL/6N	F	1035-hiPS	10	0	22	121.264	127.23566666666666	6	0.9530660951986734	16	#15A5CD	FALSE	FALSE	1035	1035-s1	4
CMR-1403	49	88072.2	C57BL/6N	F	1035-hiPS	10	0	22	103.739	127.23566666666666	6	0.8153295590596977	16	#15A5CD	FALSE	FALSE	1035	1035-s1	4
CMR-1403	49	88072.3	C57BL/6N	F	1035-hiPS	10	0	22	85.942	127.23566666666666	6	0.6754552575666676	16	#15A5CD	FALSE	FALSE	1035	1035-s1	4
CMR-1403	49	88082.3	C57BL/6N	M	1035-hiPS	10	0	21	104.863	127.23566666666666	6	0.824163560008069	16	#15A5CD	FALSE	FALSE	1035	1035-s1	4
CMR-1403	49	88083.2	C57BL/6N	M	1035-hiPS	10	0	22	104.864	127.23566666666666	6	0.8241714194395178	16	#15A5CD	FALSE	FALSE	1035	1035-s1	4
CMR-1656	64	92822.2	C57BL/6N	M	1682-exNA	10	0	30	36.196	99.0924	5	0.36527523806063833	18	#FF0066	FALSE	FALSE	1682	1682-s4	6
CMR-1656	64	92822.3	C57BL/6N	M	1682-exNA	10	0	30	51.637	99.0924	5	0.5210994990534088	18	#FF0066	FALSE	FALSE	1682	1682-s4	6
CMR-1656	64	92823.1	C57BL/6N	M	1682-exNA	10	0	30	45.213	99.0924	5	0.4562711166547586	18	#FF0066	FALSE	FALSE	1682	1682-s4	6
CMR-1656	64	92826.1	C57BL/6N	F	1682-exNA	10	0	30	53.076	99.0924	5	0.5356212989088972	18	#FF0066	FALSE	FALSE	1682	1682-s4	6
