study_id	display_tx	mean	l95	u95	pval
CMR-2752	none	1	0.8765203184973892	1.1234796815026107	7.400084744454055e-6
CMR-2752	UMass BTT+DDTT	0.3311321832478763	0.29935534246109563	0.36290902403465697	1
CMR-2752	Hongene ETT+XH	0.4180576073309885	0.384378673024476	0.45173654163750104	0.0024890206779279362
CMR-2812	none	0.9999999999999999	0.9156800232601737	1.084319976739826	7.437785410120889e-8
CMR-2812	UMass BTT+DDTT	0.3197125837459146	0.28240022331699993	0.3570249441748293	1
CMR-2812	UMass ETT+DDTT	0.3412147677348136	0.30588010552363065	0.3765494299459965	0.42594194097736227
CMR-2833	none	1	0.8616380943664508	1.1383619056335492	1.152566189644445e-5
CMR-2833	UMass BTT+DDTT	0.3646921683519505	0.30338197382706705	0.42600236287683396	1
CMR-2833	Hongene ETT+XH	0.4268044570375007	0.3920021419975849	0.4616067720774165	0.11134956135404328
CMR-2833	Hongene BTT+DDTT	0.34795332727567696	0.30460061092342	0.3913060436279339	0.6695681124117094
CMR-2941	none	0.9999999999999999	0.9507180678187602	1.0492819321812394	1.7830158601444156e-10
CMR-2941	UMass BTT+DDTT	0.37112407416831433	0.34286305347603396	0.3993850948605947	1
CMR-2941	Hongene ETT+XH	0.4955077356334235	0.39564404107542317	0.5953714301914238	0.04632752918896686
CMR-2941	Hongene BTT+XH	0.36098009910852863	0.3219215154783515	0.40003868273870574	0.6868979042592055
CMR-2941	Hongene BTT+DDTT scaled up	0.3505044903623	0.3240516121140558	0.37695736861054424	0.3142452906411443
