animal_id	day_of_death	terminal_bw_kg	adrenal_glands_wt_g	brain_weight_g	heart_weight_g	kidneys_weight_g	liver_weight_g	lungs_weight_g	spleen_weight_g	testes_weight_g	thymus_weight_g	group	sex
101	2	6.9	0.9881	78.82	62.82	35.5	271.55	127.49	39	1.25	12.412	Group 1 Vehicle 0 mg	Male
102	2	5.9	0.7418	76.38	37.51	30.43	217.81	79.87	49.69	2.42	9.997	Group 1 Vehicle 0 mg	Male
103	2	9.1	1.1497	77.49	66.29	49.5	278.73	88.21	69.33	10.35	13.282	Group 1 Vehicle 0 mg	Male
104	2	7.1	0.957	75.9	54.48	39.87	247.52	90.79	58	4.92	9.154	Group 1 Vehicle 0 mg	Male
105	29	8.2	1.1059	76.69	60.35	39.15	244.12	135.06	52.03	8.65	14.693	Group 1 Vehicle 0 mg	Male
106	29	7.9	0.822	72.13	63.39	48.39	244.65	91.03	61.53	8.41	21.226	Group 1 Vehicle 0 mg	Male
201	2	6.9	1.0936	78.03	51.5	42.48	231.17	62.07	69.69	2.11	14.193	Group 2 Low Dose 20 mg	Male
202	2	6.8	1.0979	72.12	44.17	39.97	249.81	914.92	41.69	3.81	12.72	Group 2 Low Dose 20 mg	Male
203	2	7.5	1.1554	73.91	53.88	43.92	223.17	68.18	62.25	4.76	19.025	Group 2 Low Dose 20 mg	Male
204	2	8.8	1.1078	76.21	69.98	41.31	282.38	84.13	88.85	5.57	14.06	Group 2 Low Dose 20 mg	Male
205	29	8.1	1.161	77.29	61.56	45.02	206.71	96.68	71.96	6.68	8.913	Group 2 Low Dose 20 mg	Male
206	29	7.8	1.1392	73.79	64.98	40.58	252.21	82.02	53.77	8.08	19.575	Group 2 Low Dose 20 mg	Male
301	2	7.6	1.1547	74.21	53.53	42.04	244.49	88.74	51.05	4.48	23.414	Group 3 Mid Dose 60 mg	Male
302	2	7.1	0.9936	70.47	54.53	42.06	215.39	63.02	54.57	7.64	10.619	Group 3 Mid Dose 60 mg	Male
303	2	6.6	1.1129	76.63	47.98	33.68	220.37	71	42.73	3.84	14.206	Group 3 Mid Dose 60 mg	Male
304	2	7.8	1.0106	76.15	55.19	43.3	269.33	62.08	70.89	8.77	12.694	Group 3 Mid Dose 60 mg	Male
305	29	8	0.9085	79.39	56.33	54.24	223.61	74.38	67.63	8.42	13.428	Group 3 Mid Dose 60 mg	Male
306	29	7.7	0.8333	76.64	60.65	43.5	247.05	72.76	39.46	9.12	10.64	Group 3 Mid Dose 60 mg	Male
401	2	7.6	1.1374	77.83	61.19	46.63	284.48	103.64	37.38	2.68	12.547	Group 4 High Dose 200 mg	Male
402	2	8.8	1.1757	75.95	60.67	37.12	246.4	85.27	66.72	10.08	9.315	Group 4 High Dose 200 mg	Male
403	2	7	0.786	76.46	62.42	39.27	234.83	77.87	48.27	4.49	9.876	Group 4 High Dose 200 mg	Male
404	2	7.3	1.0335	70.68	52.39	40.57	223.98	71.6	34.49	4.79	8.843	Group 4 High Dose 200 mg	Male
405	29	6.8	0.8007	71.33	52.08	36.82	223.49	85.48	45.02	8.83	7.16	Group 4 High Dose 200 mg	Male
406	29	8.2	1.0939	71.25	58.1	39.44	269.79	78.45	68.86	10.09	16.823	Group 4 High Dose 200 mg	Male
151	2	7.4	1.2872	73.36	66.07	36.3	252.31	66.12	98.15		12.948	Group 1 Vehicle 0 mg	Female
152	2	6.9	1.2947	68.55	52.5	32.02	202.66	63.39	73.61		9.305	Group 1 Vehicle 0 mg	Female
153	2	5.8	0.7943	67.1	52.43	30.14	199.5	76.48	44.01		9.653	Group 1 Vehicle 0 mg	Female
154	2	6.7	1.2468	65.83	50.23	34	229.38	69.37	66.94		4.769	Group 1 Vehicle 0 mg	Female
155	29	7.1	1.1785	71.2	55.43	33.01	240.89	89.3	61.85		9.189	Group 1 Vehicle 0 mg	Female
156	29	6.6	0.8126	72.74	49.42	31.49	179.9	57.8	52.74		9.271	Group 1 Vehicle 0 mg	Female
251	2	6.6	1.2805	72.26	52.26	36.14	248.59	71.85	41.79		6.375	Group 2 Low Dose 20 mg	Female
252	2	6.9	0.9635	73.27	57.07	35.56	180.39	72.25	66.91		6.185	Group 2 Low Dose 20 mg	Female
253	2	6.2	0.8532	73.26	47.88	31.11	190.75	84.25	59.12		10.974	Group 2 Low Dose 20 mg	Female
254	2	5.1	0.9398	67.12	42.96	28.73	178.93	59.36	41.18		9.429	Group 2 Low Dose 20 mg	Female
255	29	6.8	1.1128	64.77	61.42	28.09	184.9	74.34	60.74		6.136	Group 2 Low Dose 20 mg	Female
256	29	7.5	1.094	77.68	62.44	35.91	241.81	74.65	70.92		9.969	Group 2 Low Dose 20 mg	Female
351	2	6.7	1.1475	69.01	49.68	32.21	211.56	75	53.5		9.27	Group 3 Mid Dose 60 mg	Female
352	2	6.3	1.2478	69.39	56.72	32.03	203.69	65.85	67.13		7.653	Group 3 Mid Dose 60 mg	Female
353	2	5.8	1.0588	70.36	45.62	25.64	151.63	50.55	67.92		8.627	Group 3 Mid Dose 60 mg	Female
354	2	6.1	0.8725	68.2	43.85	27.32	179.68	61.02	66.63		10.21	Group 3 Mid Dose 60 mg	Female
355	29	6.2	0.8869	71.3	46.07	31.08	197.46	86.09	40.36		7.183	Group 3 Mid Dose 60 mg	Female
356	29	7.8	1.1333	78.27	64.89	36.03	231.86	65.45	74.28		9.094	Group 3 Mid Dose 60 mg	Female
451	2	6.5	1.244	67.68	51.45	33.61	203.92	91.09	62.53		10.564	Group 4 High Dose 200 mg	Female
452	2	6.2	0.8641	72.2	46.82	31.31	213.5	96.32	37.47		9.782	Group 4 High Dose 200 mg	Female
453	2	7	1.0572	73.22	52.81	35.14	225.25	101.59	34.4		12.037	Group 4 High Dose 200 mg	Female
454	2	6.8	0.9504	70.98	62.15	40.85	200.35	86.78	51.02		5.111	Group 4 High Dose 200 mg	Female
455	29	6.3	0.8492	69.86	48.24	30.01	215.06	65.29	35.56		12.537	Group 4 High Dose 200 mg	Female
456	29	7.1	1.0416	67.58	58.92	33.12	227.08	69.1	70.23		15.695	Group 4 High Dose 200 mg	Female
