study_id	genotype	display_tx	dose_dio	dosing_regimen	weeks_harvest	n	mean	l95	u95
CMR-1313	Tg26372	1035-s1	10	0	4	4	0.7406450263106908	0.5891175437559006	0.892172508865481
CMR-1313	Tg26372	1035-s4	10	0	4	3	0.6978117274787534	0.47268912133137236	0.9229343336261344
CMR-1313	Tg26372	2226-s1	10	0	4	5	0.656091018856916	0.5360616115064522	0.7761204262073799
CMR-1313	Tg26372	2226-s4	10	0	4	5	0.442871213533191	0.3104118971487161	0.5753305299176659
CMR-1313	Tg26372	2440-s1	1	0	4	4	0.899660851494791	0.7706734322885187	1.0286482707010633
CMR-1313	Tg26372	2440-s1	10	0	4	7	0.5428886752257479	0.4578094908208311	0.6279678596306647
CMR-1313	Tg26372	2440-s4	1	0	4	7	0.6880535922895765	0.5494524322599905	0.8266547523191625
CMR-1313	Tg26372	2440-s4	10	0	4	7	0.3232102890559656	0.2507973220011642	0.395623256110767
CMR-1313	Tg26372	NTC-s1	10	0	4	12	1.2409993046392418	1.092348242094401	1.3896503671840825
CMR-1313	Tg26372	PBS	0	0	4	12	1	0.8724814156321443	1.1275185843678557
CMR-1403	C57BL/6N	1035-s1	1	0	2	3	1.1053582983806953	1.066531031763017	1.1441855649983736
CMR-1403	C57BL/6N	1035-s1	1	0	3	3	1.0067119544572147	0.9694380573956524	1.0439858515187772
CMR-1403	C57BL/6N	1035-s1	10	0	3	5	0.8184371782545251	0.7322833220602485	0.9045910344488017
CMR-1403	C57BL/6N	1035-s4	1	0	2	3	0.8035325524551554	0.7416873034358751	0.8653778014744358
CMR-1403	C57BL/6N	1035-s4	1	0	3	3	0.8706363781644036	0.7085905192005398	1.0326822371282673
CMR-1403	C57BL/6N	1035-s4	10	0	2	2	0.7042207766690158	0.4483569718406242	0.9600845814974075
CMR-1403	C57BL/6N	1035-s4	10	0	3	3	0.5987445868165897	0.5801880858167829	0.6173010878163965
CMR-1403	C57BL/6N	NTC-s1	10	0	2	3	1.0941324104614272	1.04292194400879	1.1453428769140643
CMR-1403	C57BL/6N	NTC-s1	10	0	3	1	1.1640446730083547		
